#MURAM HIGH RES FROM SOWMYA
wavelength i10 i09 i08 i07 i06 i05 i04 i03 i02
430.00034 7.595589467898309e-06 7.228512741293237e-06 6.902203543954224e-06 6.585791018786933e-06 6.270269821255536e-06 5.950626251502076e-06 5.621041114111656e-06 5.26832327710442e-06 4.851339210576017e-06
430.0012 7.329685096509759e-06 6.996005386512736e-06 6.707526798215095e-06 6.425301603554498e-06 6.138932690982821e-06 5.84256302775166e-06 5.529709347157248e-06 5.187626759069086e-06 4.777545535890584e-06
430.00206 7.235056760278411e-06 6.930842858594316e-06 6.6695764753696324e-06 6.406043954732798e-06 6.130118171287655e-06 5.836834959200733e-06 5.520672567217969e-06 5.170468498262573e-06 4.750229819678349e-06
430.00292 7.3360959409590785e-06 7.060616159257648e-06 6.812920529724005e-06 6.548184867944133e-06 6.260041788682828e-06 5.946598425407772e-06 5.604925943464448e-06 5.226107035755075e-06 4.777240393641512e-06
430.00378 7.697868844693451e-06 7.439122173647693e-06 7.178143661365961e-06 6.881833582606268e-06 6.551327867003207e-06 6.189305797269918e-06 5.796303922302988e-06 5.365739736681063e-06 4.867337062527338e-06
430.00464 8.418725632954751e-06 8.13019264788859e-06 7.80631875270643e-06 7.434315892140742e-06 7.023175398195297e-06 6.579513847735234e-06 6.106644353858503e-06 5.599371673276338e-06 5.028691088127602e-06
430.0055 9.566840977572924e-06 9.159970953951795e-06 8.704461328992743e-06 8.20481774403944e-06 7.672873655160862e-06 7.115346770148588e-06 6.536152607473864e-06 5.929522066654859e-06 5.265255639027993e-06
430.00636 1.1078809452706245e-05 1.045671875583958e-05 9.80633065829075e-06 9.136925718325697e-06 8.455074774809435e-06 7.762567303185383e-06 7.061024764411998e-06 6.341718514103412e-06 5.570351322657903e-06
430.00722 1.271147867809132e-05 1.1826762019868756e-05 1.0958036108425195e-05 1.0107924923767198e-05 9.272356236685699e-06 8.445137156867262e-06 7.623939382357393e-06 6.7955330678651435e-06 5.9185780006598575e-06
430.00808 1.4115875118904269e-05 1.3001875651002201e-05 1.1949495904091561e-05 1.0949957179529574e-05 9.988834770030783e-06 9.052994309018073e-06 8.13661386586903e-06 7.2221243818249145e-06 6.260656184231607e-06
430.00894 1.4979257408248962e-05 1.3735884707865547e-05 1.2582198962689752e-05 1.149939234343856e-05 1.0466873403600853e-05 9.46875989510815e-06 8.498396579455738e-06 7.536299546096185e-06 6.528936386338972e-06
430.0098 1.5131877117768132e-05 1.3890114528627415e-05 1.27358518819291e-05 1.1649253501405387e-05 1.0609713994695928e-05 9.60377224299632e-06 8.627596592130392e-06 7.663217047106402e-06 6.658224474231643e-06
430.01066 1.4581897289492812e-05 1.3462968065857442e-05 1.2395630101755714e-05 1.1374976435832087e-05 1.0386793901091448e-05 9.424205358028705e-06 8.48838123586546e-06 7.56564239917461e-06 6.610211212809684e-06
430.01152 1.3492551927998294e-05 1.2562956356188355e-05 1.1633751043989914e-05 1.0725102841178722e-05 9.83146871767272e-06 8.95311600400288e-06 8.096642360382625e-06 7.25305170401864e-06 6.3846650556038515e-06
430.01238 1.210438514046618e-05 1.135025805242813e-05 1.057022379206501e-05 9.794499949774474e-06 9.02164329874807e-06 8.256138085885315e-06 7.508425307870421e-06 6.772503499994363e-06 6.014023733778142e-06
430.01324 1.0607789201469006e-05 9.977801362423403e-06 9.334869054610889e-06 8.696457766577422e-06 8.057478748441861e-06 7.4228297861326985e-06 6.802800281654495e-06 6.191220584755507e-06 5.549114084792051e-06
430.0141 9.093780610832295e-06 8.568379226573278e-06 8.052730252888451e-06 7.549748466535729e-06 7.048681138788879e-06 6.552189200889671e-06 6.065976291628115e-06 5.578859641355015e-06 5.044323742356526e-06
430.01496 7.648718163247941e-06 7.242732116186249e-06 6.8536378568844515e-06 6.480248750160168e-06 6.1106578155540355e-06 5.7441880409659934e-06 5.378909776219223e-06 4.998081888646622e-06 4.551556350262616e-06
430.01582 6.422715842878967e-06 6.133685003041779e-06 5.859487089034058e-06 5.598195591784792e-06 5.3376467240798685e-06 5.073769056498105e-06 4.799133677983299e-06 4.4948468508468255e-06 4.113507792363987e-06
430.01668 5.540894163100818e-06 5.326142589175249e-06 5.134546978956068e-06 4.952315873129007e-06 4.765821385332198e-06 4.568243469930339e-06 4.349926379067135e-06 4.0928160187723165e-06 3.7550366917037254e-06
430.01754 5.001496597682e-06 4.817352253625238e-06 4.670907723217931e-06 4.531982681104598e-06 4.3854357636291225e-06 4.222586139332675e-06 4.0328019694450485e-06 3.799788336536693e-06 3.4870259198788017e-06
430.0184 4.724025474866297e-06 4.552614576418704e-06 4.425785208171678e-06 4.304755067329058e-06 4.173760130044891e-06 4.023066939236552e-06 3.841647697392584e-06 3.615057911950544e-06 3.31134213087411e-06
430.01926 4.638221206484306e-06 4.476528765860712e-06 4.3596759269460054e-06 4.24371030922337e-06 4.112922334063762e-06 3.9581904768910366e-06 3.769526792300161e-06 3.5346331454736526e-06 3.225259525449181e-06
430.02012 4.712918889513721e-06 4.570704727633317e-06 4.466729870779263e-06 4.348077194723271e-06 4.203637231580818e-06 4.028774810583164e-06 3.817018253422435e-06 3.558550785732497e-06 3.2280277884867647e-06
430.02098 4.975652412812497e-06 4.891260957948488e-06 4.797077043667952e-06 4.65650445379268e-06 4.474788069747156e-06 4.256381167511788e-06 3.999757064804353e-06 3.6971932802641397e-06 3.325311129617442e-06
430.02184 5.618371588187625e-06 5.5785541910377326e-06 5.439651559127636e-06 5.227379978326007e-06 4.967433985067063e-06 4.671753008024629e-06 4.341859748179949e-06 3.969634871928294e-06 3.5308086214074406e-06
430.0227 6.9004519765951115e-06 6.712947041440738e-06 6.417750791934026e-06 6.066945719149096e-06 5.685616391083715e-06 5.2822266156113525e-06 4.855157664891735e-06 4.39134752459246e-06 3.861604501672091e-06
430.02356 8.6244293037242e-06 8.11905726801429e-06 7.594939097439684e-06 7.0731044497222316e-06 6.555494092632298e-06 6.037368392899212e-06 5.508972171261315e-06 4.948406370841126e-06 4.317226032574051e-06
430.02442 1.0212085976032064e-05 9.441122231672976e-06 8.722367791860185e-06 8.057832108807964e-06 7.429180519355428e-06 6.818934235384888e-06 6.209022638267229e-06 5.569070450032366e-06 4.850514604355133e-06
430.02528 1.1290704220441838e-05 1.0395200386599718e-05 9.57832554432995e-06 8.836047862237516e-06 8.143552336855662e-06 7.478364261486006e-06 6.819235649479382e-06 6.133025253772324e-06 5.365461619680073e-06
430.02614 1.1794049346740106e-05 1.0883455905434851e-05 1.0054209388668128e-05 9.297664813980946e-06 8.588750686040043e-06 7.905735187370509e-06 7.229981438388974e-06 6.531828820236303e-06 5.758889578435089e-06
430.027 1.1788667161426217e-05 1.0935171010869126e-05 1.0150282913620265e-05 9.424794286912508e-06 8.736047189068463e-06 8.066309855126465e-06 7.402355509592588e-06 6.721281681244824e-06 5.974929321572784e-06
430.02786 1.1392215133204305e-05 1.0635764947505497e-05 9.928146909931388e-06 9.261763577078694e-06 8.618608038132137e-06 7.986190417040525e-06 7.3571643065032176e-06 6.714781507736075e-06 6.014403771628394e-06
430.02872 1.0747577838139263e-05 1.0097188951477925e-05 9.47901387479471e-06 8.88539575729251e-06 8.30307570202315e-06 7.724612567405267e-06 7.146977258612056e-06 6.557514503609053e-06 5.912759778875369e-06
430.02958 9.993139162313562e-06 9.43775978679839e-06 8.905685477615139e-06 8.386740443893159e-06 7.87124627409557e-06 7.355086629748315e-06 6.837440876212783e-06 6.307184853251105e-06 5.720266195516455e-06
430.03044 9.241863517065824e-06 8.76460290578989e-06 8.307128867796548e-06 7.856788191385603e-06 7.406136684848983e-06 6.952519921872286e-06 6.495061948265784e-06 6.022139027650335e-06 5.488606363749324e-06
430.0313 8.577795351391936e-06 8.160587375924215e-06 7.763224263985534e-06 7.370639845756945e-06 6.976596140337072e-06 6.578561482654709e-06 6.17382682411127e-06 5.749469654683764e-06 5.26003185003578e-06
430.03216 8.05042666719535e-06 7.673516145052125e-06 7.3205183592677436e-06 6.972505903011735e-06 6.62296333247528e-06 6.268600756469679e-06 5.904386961010496e-06 5.516464263903193e-06 5.059798565435399e-06
430.03302 7.667026043767843e-06 7.312649452269488e-06 6.988854445011024e-06 6.671713418195234e-06 6.353303255978978e-06 6.029314725520303e-06 5.692897616096193e-06 5.3296510222277066e-06 4.895223471474876e-06
