wavelength i10 i09 i08 i07 i06 i05 i04 i03 i02
430.00034 6.110316190783388e-06 5.957545972354201e-06 5.794092998436563e-06 5.605795909230104e-06 5.39221791868988e-06 5.1542618636484674e-06 4.890155814068862e-06 4.590210141028963e-06 4.224514645431699e-06
430.0012 5.876887566396661e-06 5.76959804414801e-06 5.643120826419094e-06 5.482612199903304e-06 5.287695938302189e-06 5.061102531588761e-06 4.803734519204986e-06 4.509112311904914e-06 4.151239543125414e-06
430.00206 5.83854472831224e-06 5.771382845289041e-06 5.665660037085631e-06 5.5096466519663186e-06 5.3073491704121606e-06 5.0665869801685635e-06 4.79301582358102e-06 4.484423717739369e-06 4.119119690843956e-06
430.00292 6.040074662339584e-06 6.007709693636689e-06 5.898091833567684e-06 5.7146152269076266e-06 5.4722443933267145e-06 5.186978010051368e-06 4.870860693600957e-06 4.526361255954743e-06 4.136076084510208e-06
430.00378 6.5737985881713234e-06 6.544031136827477e-06 6.3828049765287895e-06 6.125052082776979e-06 5.801094296771402e-06 5.436004748756992e-06 5.048196040892039e-06 4.644023354592787e-06 4.209330005700094e-06
430.00464 7.551526746489447e-06 7.4362452280596e-06 7.144829750088678e-06 6.751025247856677e-06 6.297800774720922e-06 5.816021079226077e-06 5.327951879837491e-06 4.841535089222771e-06 4.343522990867477e-06
430.0055 9.016102753667367e-06 8.675290992905017e-06 8.157528931023548e-06 7.563023513603055e-06 6.936513555610784e-06 6.3074657210413604e-06 5.697534193148317e-06 5.112766480831532e-06 4.5377097600146465e-06
430.00636 1.0838238822314023e-05 1.0136567471648518e-05 9.315974137790687e-06 8.47684260871764e-06 7.652033977257306e-06 6.862086581607767e-06 6.123487563971673e-06 5.436705788689487e-06 4.7815043300737886e-06
430.00722 1.2698244935630539e-05 1.1580830244167653e-05 1.0442276671545082e-05 9.359439224154141e-06 8.34484268635724e-06 7.406308935390873e-06 6.552459590473915e-06 5.77638660894597e-06 5.052150124362697e-06
430.00808 1.4194925343377198e-05 1.2723920722725582e-05 1.1331778730541616e-05 1.0060607322619638e-05 8.903043430130395e-06 7.855880789406181e-06 6.920731146497789e-06 6.0841255432171605e-06 5.315444214562917e-06
