K0 100G vt1 mean contrast spectra for all mus -- with molecular opacities, fixed rows
wavelength   i10       i09         i08        i07       i06        i05        i04       i03
1.1850e+02 2.5771e-14 2.2869e-14 2.2443e-14 2.2263e-14 4.6280e-12 2.3103e-14 2.4276e-14 2.6446e-14 3.1878e-14
1.1950e+02 2.6509e-14 2.3938e-14 2.3760e-14 2.3973e-14 2.4435e-14 2.5690e-14 2.7380e-14 3.0009e-14 3.6191e-14
1.2050e+02 3.0246e-14 2.7526e-14 2.7381e-14 2.7759e-14 3.3835e-14 2.9929e-14 3.2379e-14 3.5008e-14 4.2110e-14
1.2150e+02 3.5474e-14 3.2530e-14 3.2361e-14 3.2810e-14 3.3538e-14 3.5361e-14 3.7707e-14 4.1189e-14 4.9368e-14
1.2250e+02 4.2843e-14 1.7345e-11 6.7435e-14 3.9298e-14 4.0096e-14 4.2117e-14 4.4875e-14 4.9030e-14 5.8628e-14
1.2350e+02 5.7794e-14 5.2008e-14 5.1228e-14 5.1166e-14 5.1691e-14 5.3741e-14 5.6771e-14 6.1912e-14 7.3952e-14
1.2450e+02 6.0459e-14 5.3090e-14 4.9608e-14 4.6041e-14 4.3526e-14 4.1781e-14 4.0963e-14 4.1856e-14 4.5488e-14
1.2550e+02 7.6035e-14 6.6339e-14 6.1624e-14 5.6551e-14 5.3032e-14 5.0545e-14 4.9346e-14 5.0296e-14 5.4604e-14
1.2650e+02 8.5924e-14 7.5557e-14 7.0501e-14 6.5291e-14 6.1809e-14 5.9265e-14 5.8285e-14 5.9595e-14 6.4848e-14
1.2750e+02 1.0535e-13 9.2503e-14 8.6003e-14 7.9400e-14 7.4832e-14 7.1540e-14 7.0134e-14 7.1575e-14 7.7791e-14
1.2850e+02 1.2658e-13 1.1088e-13 1.0303e-13 9.5022e-14 8.9417e-14 8.5378e-14 8.3658e-14 8.5281e-14 9.2603e-14
1.2950e+02 1.4992e-13 1.3171e-13 1.2248e-13 1.1299e-13 1.0642e-13 1.0167e-13 9.9542e-14 1.0143e-13 1.0994e-13
1.3050e+02 1.7107e-13 1.5121e-13 1.4121e-13 1.3106e-13 1.2415e-13 1.1906e-13 1.1715e-13 1.1969e-13 1.2981e-13
1.3150e+02 2.0539e-13 1.8148e-13 1.6905e-13 1.5669e-13 1.4804e-13 1.4171e-13 1.3915e-13 1.4193e-13 1.5359e-13
1.3250e+02 2.3873e-13 2.1138e-13 1.9740e-13 1.8321e-13 1.7329e-13 1.6617e-13 1.6365e-13 1.6707e-13 1.8081e-13
1.3350e+02 2.7663e-13 2.4538e-13 2.2973e-13 2.1373e-13 2.0277e-13 1.9487e-13 1.9183e-13 1.9606e-13 2.1204e-13
1.3450e+02 3.2439e-13 2.8804e-13 2.6978e-13 2.5108e-13 2.3814e-13 2.2892e-13 2.2540e-13 2.5065e-13 2.4894e-13
1.3550e+02 3.7524e-13 3.3383e-13 3.1333e-13 2.9236e-13 2.7773e-13 2.6783e-13 2.6396e-13 2.6973e-13 2.9161e-13
1.3650e+02 4.3429e-13 3.8730e-13 3.6417e-13 3.4038e-13 3.2364e-13 3.1233e-13 3.0827e-13 3.1510e-13 3.4323e-13
1.3750e+02 4.9906e-13 4.4608e-13 4.2022e-13 3.9404e-13 3.7529e-13 3.7402e-13 3.5880e-13 3.6697e-13 9.1638e-13
1.3850e+02 5.7324e-13 5.1393e-13 4.8498e-13 4.5581e-13 4.3465e-13 4.2141e-13 4.1693e-13 4.2667e-13 6.2059e-13
1.3950e+02 6.6003e-13 5.9300e-13 5.6039e-13 5.2768e-13 5.0333e-13 4.8840e-13 4.8387e-13 4.9529e-13 5.3398e-13
1.4050e+02 7.6523e-13 6.8790e-13 6.4991e-13 6.1191e-13 5.8382e-13 5.6635e-13 5.6065e-13 5.8296e-13 6.1712e-13
1.4150e+02 8.7782e-13 7.9015e-13 7.4701e-13 7.0417e-13 6.7238e-13 2.0044e-12 6.4618e-13 6.6046e-13 7.0978e-13
1.4250e+02 1.0057e-12 9.0645e-13 8.5732e-13 8.0834e-13 7.7236e-13 7.4999e-13 7.4237e-13 7.5805e-13 8.1385e-13
1.4350e+02 1.1495e-12 1.0378e-12 9.8218e-13 9.2709e-13 8.8688e-13 8.6124e-13 8.5235e-13 8.6980e-13 9.3206e-13
1.4420e+02 1.2908e-12 1.1624e-12 1.0974e-12 1.0334e-12 9.8656e-13 9.5585e-13 9.4419e-13 9.6162e-13 1.0285e-12
1.4470e+02 1.3511e-12 1.2201e-12 1.1539e-12 1.0885e-12 1.0417e-12 1.0106e-12 9.9958e-13 1.0186e-12 1.0883e-12
