#K0 hydro vt1 mean contrast spectra for all mus -- with molecular opacities, fixed rows
wavelength   i10       i09         i08        i07       i06        i05        i04       i03
1.1850e+02 7.1951e-15 6.8443e-15 6.7607e-15 6.6291e-15 6.6351e-15 6.7819e-15 7.0604e-15 7.6670e-15 8.7905e-15
1.1950e+02 8.4487e-15 8.1115e-15 8.0300e-15 7.8789e-15 7.8687e-15 8.0291e-15 8.3381e-15 9.0171e-15 1.0203e-14
1.2050e+02 1.0081e-14 9.7277e-15 9.6227e-15 9.4421e-15 9.4228e-15 9.6001e-15 9.9582e-15 1.0734e-14 1.2047e-14
1.2150e+02 1.2083e-14 1.1742e-14 1.1625e-14 1.1423e-14 1.1396e-14 1.1597e-14 1.1983e-14 1.2865e-14 1.4341e-14
1.2250e+02 1.4590e-14 1.4094e-14 1.3923e-14 1.3694e-14 1.3670e-14 1.3862e-14 1.4283e-14 1.5304e-14 1.7055e-14
1.2350e+02 1.8236e-14 1.7397e-14 1.7116e-14 1.6772e-14 1.6720e-14 1.6938e-14 1.7471e-14 1.8723e-14 2.1062e-14
1.2450e+02 1.5989e-14 1.5254e-14 1.4707e-14 1.4184e-14 1.3721e-14 1.3572e-14 1.3326e-14 1.3392e-14 1.3930e-14
1.2550e+02 1.9405e-14 1.8512e-14 1.7833e-14 1.7184e-14 1.6630e-14 1.6409e-14 1.6087e-14 1.6137e-14 1.6790e-14
1.2650e+02 2.3184e-14 2.2175e-14 2.1369e-14 2.0615e-14 1.9967e-14 1.9687e-14 1.9281e-14 1.9307e-14 2.0054e-14
1.2750e+02 2.8082e-14 2.6869e-14 2.5869e-14 2.4961e-14 2.4154e-14 2.3781e-14 2.3298e-14 2.3303e-14 2.4159e-14
1.2850e+02 3.3761e-14 3.2239e-14 3.1022e-14 2.9938e-14 2.8975e-14 2.8468e-14 2.7895e-14 2.7862e-14 2.8808e-14
1.2950e+02 4.0554e-14 3.8704e-14 3.7254e-14 3.5962e-14 3.4792e-14 3.4132e-14 3.3475e-14 3.3327e-14 3.4414e-14
1.3050e+02 4.8090e-14 4.5938e-14 4.4194e-14 4.2651e-14 4.1295e-14 4.0506e-14 3.9684e-14 3.9529e-14 4.0745e-14
1.3150e+02 5.7495e-14 5.4939e-14 5.2816e-14 5.0914e-14 4.9310e-14 4.8321e-14 4.7313e-14 4.7102e-14 4.8449e-14
1.3250e+02 6.8155e-14 6.5195e-14 6.2668e-14 6.0386e-14 5.8512e-14 5.7293e-14 5.6089e-14 5.5714e-14 5.7124e-14
1.3350e+02 8.0670e-14 7.7267e-14 7.4273e-14 7.1544e-14 6.9345e-14 6.7821e-14 6.6341e-14 6.5862e-14 6.7366e-14
1.3450e+02 9.5475e-14 9.1506e-14 8.7980e-14 8.4739e-14 8.2090e-14 8.0260e-14 7.8409e-14 7.7818e-14 7.9490e-14
1.3550e+02 1.1270e-13 1.0788e-13 1.0377e-13 9.9958e-14 9.6780e-14 9.4543e-14 9.2337e-14 9.1586e-14 9.3476e-14
1.3650e+02 1.3258e-13 1.2704e-13 1.2219e-13 1.1774e-13 1.1394e-13 1.1125e-13 1.0847e-13 1.0748e-13 1.0968e-13
1.3750e+02 1.5548e-13 1.4898e-13 1.4339e-13 1.3821e-13 1.3367e-13 1.3048e-13 1.2715e-13 1.2591e-13 1.2843e-13
1.3850e+02 1.8193e-13 1.7440e-13 1.6785e-13 1.6197e-13 1.5650e-13 1.5276e-13 1.4875e-13 1.4707e-13 1.4995e-13
1.3950e+02 2.1258e-13 2.0385e-13 1.9626e-13 1.8938e-13 1.8289e-13 1.7843e-13 1.7350e-13 1.7149e-13 1.7466e-13
1.4050e+02 2.4799e-13 2.3774e-13 2.2883e-13 2.2074e-13 2.1305e-13 2.0767e-13 2.0183e-13 1.9930e-13 2.0282e-13
1.4150e+02 2.8824e-13 2.7626e-13 2.6585e-13 2.5639e-13 2.4729e-13 2.4095e-13 2.3390e-13 2.3066e-13 2.3438e-13
1.4250e+02 3.3371e-13 3.1998e-13 3.0787e-13 2.9676e-13 2.8612e-13 2.7850e-13 2.5801e-12 2.6613e-13 2.6982e-13
1.4350e+02 3.8604e-13 3.7005e-13 3.5597e-13 3.4293e-13 3.3057e-13 3.2147e-13 3.1178e-13 3.0660e-13 3.1033e-13
1.4420e+02 4.2935e-13 4.1108e-13 3.9514e-13 3.8036e-13 3.6646e-13 3.5612e-13 3.4518e-13 3.3915e-13 3.4299e-13
1.4470e+02 4.5829e-13 4.3924e-13 4.2221e-13 4.0637e-13 3.9165e-13 3.8007e-13 7.4733e-13 3.6117e-13 3.6451e-13
1.4550e+02 5.1366e-13 4.9215e-13 4.7296e-13 4.5489e-13 4.3844e-13 4.2525e-13 4.1154e-13 4.0332e-13 4.0644e-13
1.4650e+02 5.9156e-13 5.6662e-13 5.4434e-13 5.2332e-13 5.0407e-13 4.8844e-13 4.7250e-13 4.6238e-13 4.6532e-13
1.4750e+02 6.7635e-13 6.4861e-13 6.2321e-13 5.9908e-13 5.7699e-13 5.5870e-13 5.9325e-13 5.2799e-13 5.3035e-13
1.4850e+02 7.7663e-13 7.4446e-13 7.1514e-13 6.8707e-13 6.6136e-13 6.3986e-13 6.1806e-13 6.0358e-13 6.0553e-13
1.4950e+02 8.9270e-13 8.5454e-13 8.2041e-13 7.8768e-13 7.5780e-13 7.3259e-13 7.0713e-13 6.8950e-13 6.9113e-13
1.5050e+02 1.0216e-12 9.7754e-13 9.3822e-13 9.0035e-13 8.6574e-13 8.3655e-13 8.0664e-13 7.8583e-13 7.8630e-13
1.5120e+02 1.1100e-12 1.0647e-12 1.0224e-12 9.8148e-13 9.4377e-13 9.1184e-13 8.7931e-13 8.5592e-13 8.5539e-13
1.5170e+02 1.1763e-12 1.1303e-12 1.0853e-12 1.0419e-12 1.0019e-12 9.6811e-13 9.3350e-13 9.0820e-13 9.0701e-13
1.5250e+02 7.8439e-13 7.4140e-13 6.9817e-13 6.5558e-13 6.1185e-13 5.6879e-13 5.2104e-13 4.7388e-13 4.3101e-13
1.5350e+02 1.0491e-12 9.8773e-13 9.3399e-13 8.7939e-13 8.2073e-13 7.6060e-13 6.9306e-13 6.2583e-13 5.6270e-13
1.5450e+02 1.1933e-12 1.1285e-12 1.0675e-12 1.0056e-12 9.3957e-13 8.7110e-13 7.9365e-13 7.1636e-13 6.4237e-13
1.5550e+02 1.4709e-12 1.3886e-12 1.3160e-12 1.2418e-12 1.1607e-12 1.0751e-12 9.7744e-13 8.7845e-13 7.8068e-13
1.5650e+02 1.6238e-12 1.5353e-12 1.4543e-12 1.3718e-12 1.2829e-12 1.1884e-12 1.0808e-12 9.7146e-13 8.6595e-13
1.5750e+02 2.0551e-12 1.9417e-12 1.8460e-12 1.7476e-12 1.6379e-12 1.5203e-12 1.3847e-12 1.2370e-12 3.4398e-12
1.5850e+02 2.3839e-12 2.2535e-12 2.1441e-12 2.0302e-12 1.9024e-12 1.7637e-12 1.6032e-12 1.4262e-12 1.2380e-12
1.5950e+02 2.6927e-12 2.5444e-12 2.4195e-12 2.2884e-12 2.1424e-12 1.9834e-12 1.7991e-12 1.5943e-12 1.9277e-11
1.6050e+02 3.0476e-12 2.8774e-12 2.7355e-12 2.5861e-12 2.4195e-12 2.2365e-12 2.0251e-12 1.7908e-12 1.5465e-12
1.6150e+02 3.4144e-12 3.2220e-12 3.0618e-12 2.8922e-12 2.7036e-12 2.4971e-12 2.2584e-12 1.9948e-12 1.7209e-12
1.6250e+02 3.8475e-12 3.6315e-12 3.4505e-12 3.2606e-12 3.0451e-12 2.8098e-12 2.5366e-12 2.2331e-12 1.9129e-12
1.6350e+02 4.4574e-12 4.2080e-12 4.0009e-12 3.7833e-12 3.5390e-12 3.2712e-12 2.9596e-12 2.6116e-12 2.2379e-12
1.6450e+02 5.4321e-12 5.1306e-12 4.8846e-12 4.6240e-12 4.3291e-12 4.0015e-12 3.6152e-12 3.1782e-12 2.7019e-12
1.6550e+02 5.3269e-12 5.0287e-12 4.7749e-12 4.5085e-12 4.2140e-12 3.8941e-12 3.5270e-12 3.1193e-12 2.6856e-12
1.6650e+02 6.7531e-12 6.3844e-12 6.0767e-12 5.7513e-12 5.3835e-12 4.9763e-12 4.4989e-12 3.9562e-12 3.3648e-12
1.6720e+02 6.4580e-12 6.0958e-12 5.7854e-12 5.4589e-12 5.0975e-12 4.7062e-12 4.2573e-12 3.7572e-12 3.2312e-12
1.6770e+02 6.6996e-12 6.2611e-12 5.8908e-12 5.4799e-12 5.0008e-12 4.4559e-12 3.7936e-12 3.0784e-12 2.3574e-12
1.6850e+02 8.0337e-12 7.5115e-12 7.0695e-12 6.5802e-12 6.0068e-12 5.3511e-12 4.5510e-12 3.6747e-12 2.7766e-12
1.6950e+02 1.0465e-11 9.8051e-12 9.2201e-12 8.5755e-12 7.8189e-12 6.9480e-12 5.8824e-12 4.6886e-12 3.4244e-12
1.7050e+02 1.2149e-11 1.1387e-11 1.0703e-11 9.9476e-12 9.0603e-12 8.0365e-12 6.7844e-12 5.3769e-12 3.8831e-12
1.7150e+02 1.2589e-11 1.1821e-11 1.1117e-11 1.0338e-11 9.4208e-12 8.3665e-12 7.0637e-12 5.6055e-12 4.0710e-12
1.7250e+02 1.5456e-11 1.4526e-11 1.3671e-11 1.2730e-11 1.1618e-11 1.0334e-11 8.7404e-12 6.9289e-12 4.9834e-12
1.7350e+02 1.7391e-11 1.6351e-11 1.5385e-11 1.4318e-11 1.3061e-11 1.1603e-11 9.7940e-12 7.7281e-12 5.5068e-12
1.7450e+02 2.1403e-11 2.0133e-11 1.8949e-11 1.7651e-11 1.6115e-11 1.4332e-11 1.2115e-11 9.5528e-12 6.7486e-12
1.7550e+02 2.4995e-11 2.3510e-11 2.2101e-11 2.0552e-11 1.8717e-11 1.6568e-11 1.3892e-11 1.0790e-11 7.4320e-12
1.7650e+02 2.6516e-11 2.4974e-11 2.3518e-11 2.1913e-11 2.0008e-11 1.7782e-11 1.5010e-11 1.1792e-11 8.2600e-12
1.7750e+02 2.8379e-11 2.6680e-11 2.5087e-11 2.3330e-11 2.1247e-11 1.8811e-11 1.5784e-11 1.2299e-11 8.5495e-12
1.7850e+02 3.6737e-11 3.4622e-11 3.2603e-11 3.0394e-11 2.7781e-11 2.4734e-11 2.0942e-11 1.6497e-11 1.1507e-11
1.7950e+02 3.8143e-11 3.5907e-11 3.3759e-11 3.1396e-11 2.8595e-11 2.5301e-11 2.1212e-11 1.6446e-11 1.1244e-11
1.8050e+02 4.5933e-11 4.3321e-11 4.0812e-11 3.8069e-11 3.4819e-11 3.1018e-11 2.6286e-11 2.0718e-11 1.4421e-11
1.8150e+02 4.5912e-11 4.3224e-11 4.0664e-11 3.7846e-11 3.4495e-11 3.0557e-11 2.5660e-11 1.9946e-11 1.3695e-11
1.8250e+02 5.5368e-11 5.2255e-11 4.9245e-11 4.5937e-11 4.2009e-11 3.7389e-11 3.1633e-11 2.4823e-11 1.7131e-11
1.8350e+02 6.0128e-11 5.6689e-11 5.3337e-11 4.9652e-11 4.5265e-11 4.0097e-11 3.3665e-11 2.6092e-11 1.7678e-11
1.8450e+02 5.8976e-11 5.5630e-11 5.2473e-11 4.9004e-11 4.4902e-11 4.0106e-11 3.4164e-11 2.7213e-11 1.9341e-11
1.8550e+02 6.8304e-11 6.4363e-11 6.0547e-11 5.6335e-11 5.1328e-11 4.5427e-11 3.8116e-11 2.9559e-11 2.0117e-11
1.8650e+02 8.1613e-11 7.7061e-11 7.2629e-11 6.7769e-11 6.2008e-11 5.5228e-11 4.6806e-11 3.6820e-11 2.5413e-11
1.8750e+02 8.7942e-11 8.3009e-11 7.8159e-11 7.2819e-11 6.6469e-11 5.8979e-11 4.9658e-11 3.8632e-11 2.6219e-11
1.8850e+02 9.7377e-11 9.1980e-11 8.6679e-11 8.0850e-11 7.3917e-11 6.5738e-11 5.5553e-11 4.3450e-11 2.9654e-11
1.8950e+02 1.1604e-10 1.0967e-10 1.0333e-10 9.6364e-11 8.8061e-11 7.8241e-11 6.5997e-11 5.1351e-11 3.4548e-11
1.9050e+02 1.1970e-10 1.1311e-10 1.0659e-10 9.9430e-11 9.0897e-11 8.0827e-11 6.8287e-11 5.3342e-11 3.6237e-11
1.9150e+02 1.3857e-10 1.3102e-10 1.2354e-10 1.1534e-10 1.0559e-10 9.4108e-11 7.9800e-11 6.2665e-11 4.2734e-11
1.9250e+02 1.4295e-10 1.3504e-10 1.2716e-10 1.1850e-10 1.0817e-10 9.5971e-11 8.0793e-11 6.2716e-11 4.2128e-11
1.9350e+02 1.1790e-10 1.1107e-10 1.0470e-10 9.7629e-11 8.9177e-11 7.9167e-11 6.6618e-11 5.1982e-11 3.5829e-11
1.9450e+02 1.7664e-10 1.6703e-10 1.5740e-10 1.4679e-10 1.3412e-10 1.1912e-10 1.0045e-10 7.8135e-11 5.2419e-11
1.9550e+02 2.0126e-10 1.9054e-10 1.7981e-10 1.6805e-10 1.5404e-10 1.3750e-10 1.1691e-10 9.2119e-11 6.2872e-11
1.9670e+02 2.3124e-10 2.1891e-10 2.0640e-10 1.9265e-10 1.7623e-10 1.5675e-10 1.3246e-10 1.0311e-10 6.8810e-11
1.9760e+02 2.4628e-10 2.3325e-10 2.2007e-10 2.0559e-10 1.8833e-10 1.6790e-10 1.4248e-10 1.1176e-10 7.5559e-11
1.9840e+02 2.6625e-10 2.5236e-10 2.3832e-10 2.2288e-10 2.0444e-10 1.8259e-10 1.5530e-10 1.2217e-10 8.2700e-11
1.9950e+02 2.7891e-10 2.6415e-10 2.4921e-10 2.3275e-10 2.1307e-10 1.8969e-10 1.6053e-10 1.2531e-10 8.3932e-11
2.0050e+02 2.9631e-10 2.8085e-10 2.6525e-10 2.4807e-10 2.2754e-10 2.0317e-10 1.7275e-10 1.3584e-10 9.1985e-11
2.0150e+02 3.2949e-10 3.1218e-10 2.9473e-10 2.7551e-10 2.5255e-10 2.2532e-10 1.9133e-10 1.5008e-10 1.0116e-10
2.0250e+02 3.0883e-10 2.9238e-10 2.7607e-10 2.5802e-10 2.3646e-10 2.1096e-10 1.7927e-10 1.4123e-10 9.6501e-11
2.0350e+02 3.7759e-10 3.5784e-10 3.3786e-10 3.1581e-10 2.8943e-10 2.5812e-10 2.1903e-10 1.7160e-10 1.1534e-10
2.0450e+02 4.1328e-10 3.9150e-10 3.6940e-10 3.4499e-10 3.1573e-10 2.8097e-10 2.3759e-10 1.8497e-10 1.2298e-10
2.0550e+02 4.5127e-10 4.2774e-10 4.0382e-10 3.7746e-10 3.4589e-10 3.0841e-10 2.6165e-10 2.0480e-10 1.3721e-10
2.0650e+02 4.6785e-10 4.4311e-10 4.1806e-10 3.9040e-10 3.5723e-10 3.1785e-10 2.6881e-10 2.0937e-10 1.3953e-10
2.0740e+02 4.7450e-10 4.4909e-10 4.2322e-10 3.9458e-10 3.6015e-10 3.1927e-10 2.6840e-10 2.0702e-10 1.3608e-10
2.0780e+02 5.5568e-10 5.3185e-10 5.0721e-10 4.7982e-10 4.4544e-10 4.0098e-10 3.4444e-10 2.7391e-10 1.9392e-10
2.0850e+02 6.0562e-10 5.7986e-10 5.5313e-10 5.2352e-10 4.8633e-10 4.3888e-10 3.7791e-10 3.0238e-10 2.1482e-10
2.0950e+02 7.5433e-10 7.2086e-10 6.8659e-10 6.5021e-10 6.0552e-10 5.4962e-10 4.7721e-10 3.8579e-10 2.7660e-10
2.1050e+02 8.9682e-10 8.4243e-10 7.9103e-10 7.4061e-10 6.8406e-10 6.1707e-10 5.3340e-10 4.2952e-10 3.0646e-10
2.1150e+02 1.0172e-09 9.4854e-10 8.8578e-10 8.2617e-10 7.6074e-10 6.8400e-10 5.8830e-10 4.6864e-10 3.2793e-10
2.1250e+02 1.0322e-09 9.6559e-10 9.0455e-10 8.4529e-10 7.8017e-10 7.0372e-10 6.0811e-10 4.8919e-10 3.4916e-10
2.1350e+02 1.2168e-09 1.1271e-09 1.0482e-09 9.7644e-10 9.0031e-10 8.1298e-10 7.0604e-10 5.7298e-10 4.1445e-10
2.1450e+02 1.2340e-09 1.1352e-09 1.0493e-09 9.7160e-10 8.9013e-10 7.9699e-10 6.8335e-10 5.4337e-10 3.8150e-10
2.1550e+02 1.2944e-09 1.1994e-09 1.1154e-09 1.0380e-09 9.5519e-10 8.6020e-10 7.4315e-10 5.9857e-10 4.2879e-10
2.1650e+02 1.2677e-09 1.1867e-09 1.1126e-09 1.0405e-09 9.6003e-10 8.6489e-10 7.4664e-10 6.0010e-10 4.2835e-10
2.1750e+02 1.3623e-09 1.2787e-09 1.2000e-09 1.1234e-09 1.0373e-09 9.3559e-10 8.0886e-10 6.5180e-10 4.6721e-10
2.1850e+02 1.4655e-09 1.3588e-09 1.2635e-09 1.1749e-09 1.0792e-09 9.6765e-10 8.3030e-10 6.6120e-10 4.6662e-10
2.1950e+02 1.7309e-09 1.6057e-09 1.4948e-09 1.3908e-09 1.2805e-09 1.1533e-09 9.9842e-10 8.0741e-10 5.8077e-10
2.2050e+02 1.7376e-09 1.6108e-09 1.4989e-09 1.3937e-09 1.2811e-09 1.1515e-09 9.9212e-10 7.9592e-10 5.6650e-10
2.2150e+02 1.7672e-09 1.6512e-09 1.5456e-09 1.4439e-09 1.3330e-09 1.2036e-09 1.0456e-09 8.5150e-10 6.2392e-10
2.2250e+02 2.0224e-09 1.8571e-09 1.7143e-09 1.5864e-09 1.4541e-09 1.3044e-09 1.1241e-09 9.0316e-10 6.4937e-10
2.2350e+02 2.7723e-09 2.4411e-09 2.1815e-09 1.9721e-09 1.7823e-09 1.5901e-09 1.3719e-09 1.1126e-09 8.1011e-10
2.2450e+02 2.8946e-09 2.5769e-09 2.3240e-09 2.1158e-09 1.9220e-09 1.7219e-09 1.4936e-09 1.2213e-09 8.9912e-10
2.2550e+02 2.7639e-09 2.5178e-09 2.3099e-09 2.1271e-09 1.9515e-09 1.7631e-09 1.5421e-09 1.2747e-09 9.5249e-10
2.2650e+02 2.2756e-09 2.1248e-09 1.9866e-09 1.8535e-09 1.7121e-09 1.5492e-09 1.3485e-09 1.0996e-09 8.0421e-10
2.2750e+02 2.6544e-09 2.4911e-09 2.3403e-09 2.1952e-09 2.0406e-09 1.8619e-09 1.6401e-09 1.3611e-09 1.0174e-09
2.2850e+02 3.2071e-09 2.9317e-09 2.6975e-09 2.4918e-09 2.2904e-09 2.0708e-09 1.8092e-09 1.4900e-09 1.0989e-09
2.2950e+02 3.3985e-09 3.1516e-09 2.9340e-09 2.7363e-09 2.5363e-09 2.3168e-09 2.0550e-09 1.7328e-09 1.3295e-09
2.3050e+02 3.0567e-09 2.8111e-09 2.5989e-09 2.4065e-09 2.2122e-09 1.9933e-09 1.7257e-09 1.3974e-09 1.0104e-09
2.3150e+02 4.0582e-09 3.7076e-09 3.4116e-09 3.1539e-09 2.9015e-09 2.6369e-09 2.3274e-09 1.9533e-09 1.4941e-09
2.3250e+02 3.8490e-09 3.5777e-09 3.3349e-09 3.1100e-09 2.8786e-09 2.6194e-09 2.3058e-09 1.9151e-09 1.4311e-09
2.3350e+02 4.9154e-09 4.4915e-09 4.1262e-09 3.8045e-09 3.4948e-09 3.1746e-09 2.8091e-09 2.3699e-09 1.8282e-09
2.3450e+02 3.9705e-09 3.6982e-09 3.4496e-09 3.2166e-09 2.9737e-09 2.7032e-09 2.3796e-09 1.9824e-09 1.5074e-09
2.3550e+02 4.3570e-09 4.0253e-09 3.7310e-09 3.4625e-09 3.1860e-09 2.8800e-09 2.5103e-09 2.0552e-09 1.5078e-09
2.3650e+02 4.5295e-09 4.2256e-09 3.9464e-09 3.6839e-09 3.4087e-09 3.1009e-09 2.7311e-09 2.2773e-09 1.7315e-09
2.3750e+02 4.8298e-09 4.4952e-09 4.1924e-09 3.9082e-09 3.6107e-09 3.2805e-09 2.8826e-09 2.3922e-09 1.7986e-09
2.3850e+02 5.2067e-09 4.8898e-09 4.5970e-09 4.3156e-09 4.0168e-09 3.6862e-09 3.2935e-09 2.8158e-09 2.2334e-09
2.3950e+02 5.6277e-09 5.2521e-09 4.9090e-09 4.5848e-09 4.2466e-09 3.8750e-09 3.4351e-09 2.8992e-09 2.2471e-09
2.4050e+02 7.0259e-09 6.5202e-09 6.0649e-09 5.6452e-09 5.2253e-09 4.7827e-09 4.2813e-09 3.6879e-09 2.9619e-09
2.4150e+02 5.9095e-09 5.5445e-09 5.2113e-09 4.8906e-09 4.5483e-09 4.1627e-09 3.7005e-09 3.1309e-09 2.4327e-09
2.4250e+02 7.7598e-09 7.0264e-09 6.4162e-09 5.8925e-09 5.3959e-09 4.8855e-09 4.3103e-09 3.6280e-09 2.8032e-09
2.4350e+02 8.6137e-09 7.8288e-09 7.1738e-09 6.6087e-09 6.0735e-09 5.5283e-09 4.9205e-09 4.2020e-09 3.3173e-09
2.4450e+02 1.0610e-08 9.4552e-09 8.5181e-09 7.7439e-09 7.0508e-09 6.3833e-09 5.6723e-09 4.8609e-09 3.8725e-09
2.4550e+02 1.1417e-08 1.0191e-08 9.1972e-09 8.3758e-09 7.6399e-09 6.9314e-09 6.1763e-09 5.3139e-09 4.2589e-09
2.4650e+02 8.7651e-09 8.1337e-09 7.5842e-09 7.0828e-09 6.5706e-09 6.0127e-09 5.3555e-09 4.5505e-09 3.5472e-09
2.4750e+02 9.5823e-09 8.9696e-09 8.4236e-09 7.9183e-09 7.3947e-09 6.8311e-09 6.1793e-09 5.3928e-09 4.4018e-09
2.4850e+02 5.8371e-09 5.5894e-09 5.3536e-09 5.0966e-09 4.7828e-09 4.4051e-09 3.9293e-09 3.3390e-09 2.6249e-09
2.4950e+02 7.3011e-09 6.9273e-09 6.5811e-09 6.2280e-09 5.8231e-09 5.3578e-09 4.7876e-09 4.0848e-09 3.2241e-09
2.5050e+02 1.0005e-08 9.4321e-09 8.9109e-09 8.4067e-09 7.8602e-09 7.2543e-09 6.5294e-09 5.6383e-09 4.5143e-09
2.5130e+02 8.0277e-09 7.6972e-09 7.3779e-09 7.0350e-09 6.6218e-09 6.1347e-09 5.5144e-09 4.7374e-09 3.7654e-09
2.5180e+02 7.1638e-09 6.8690e-09 6.5785e-09 6.2692e-09 5.9069e-09 5.4769e-09 4.9614e-09 4.3434e-09 3.5744e-09
