# M0 100G vt1 mean contrast spectra for all mus -- with molecular opacities, fixed rows
wavelength   i10       i09         i08        i07       i06        i05        i04  i03    
1.1850e+02 8.1674e-16 6.0918e-16 5.6191e-16 5.2604e-16 5.1864e-16 5.3968e-16 6.0915e-16 6.7235e-16 8.4359e-16
1.1950e+02 9.3386e-16 7.0693e-16 6.6244e-16 6.3372e-16 6.3277e-16 6.6342e-16 7.5198e-16 8.3353e-16 1.0507e-15
1.2050e+02 1.1039e-15 8.4676e-16 7.9880e-16 7.7132e-16 7.7526e-16 8.1573e-16 9.2561e-16 1.0306e-15 1.3053e-15
1.2150e+02 1.3121e-15 1.0258e-15 9.7208e-16 9.4584e-16 9.5405e-16 1.0074e-15 1.1433e-15 1.2763e-15 1.6184e-15
1.2250e+02 1.6361e-15 1.2786e-15 1.2111e-15 1.1771e-15 1.1892e-15 1.2530e-15 1.4188e-15 1.5781e-15 2.0139e-15
1.2350e+02 2.1525e-15 1.6658e-15 1.5649e-15 1.4999e-15 1.5007e-15 1.5710e-15 1.7583e-15 1.9676e-15 2.5023e-15
1.2450e+02 2.2880e-15 1.8985e-15 1.7804e-15 1.6779e-15 1.6689e-15 1.7292e-15 1.8440e-15 2.1039e-15 2.7093e-15
1.2550e+02 2.7791e-15 2.3156e-15 2.1819e-15 2.0604e-15 2.0507e-15 2.1278e-15 2.2712e-15 2.5943e-15 3.3459e-15
1.2650e+02 3.3218e-15 2.7795e-15 2.6290e-15 2.5000e-15 2.5014e-15 2.6013e-15 2.7855e-15 3.1855e-15 4.1196e-15
1.2750e+02 4.0408e-15 3.3920e-15 3.2136e-15 3.0612e-15 3.0644e-15 3.1888e-15 3.4178e-15 3.9136e-15 5.0624e-15
1.2850e+02 4.8506e-15 4.0894e-15 3.8914e-15 3.7160e-15 3.7254e-15 3.8871e-15 4.1735e-15 4.7842e-15 6.1915e-15
1.2950e+02 5.8345e-15 4.9375e-15 4.7082e-15 4.5052e-15 4.5236e-15 4.7280e-15 5.0878e-15 5.8452e-15 7.5514e-15
1.3050e+02 6.9254e-15 5.8798e-15 5.6247e-15 5.4119e-15 5.4556e-15 5.7147e-15 6.1619e-15 7.0881e-15 9.1751e-15
1.3150e+02 8.3173e-15 7.0713e-15 6.7772e-15 6.5306e-15 6.5912e-15 6.9104e-15 7.4567e-15 8.5889e-15 1.1113e-14
1.3250e+02 9.8684e-15 8.4167e-15 8.0885e-15 7.8271e-15 7.9293e-15 8.3265e-15 9.0091e-15 1.0383e-14 1.3448e-14
1.3350e+02 1.1697e-14 1.0002e-14 9.6381e-15 9.3565e-15 9.5075e-15 9.9978e-15 1.0834e-14 1.2505e-14 1.6179e-14
1.3450e+02 1.3918e-14 1.1938e-14 1.1520e-14 1.1202e-14 1.1394e-14 1.1997e-14 1.3021e-14 1.5032e-14 1.9465e-14
1.3550e+02 1.6492e-14 1.4178e-14 1.3709e-14 1.3364e-14 1.3622e-14 1.4358e-14 1.5604e-14 1.8033e-14 2.3344e-14
1.3650e+02 1.9402e-14 1.6753e-14 1.6221e-14 1.5858e-14 1.6202e-14 1.7093e-14 1.8603e-14 2.1500e-14 2.7880e-14
1.3750e+02 2.2828e-14 1.9786e-14 1.9183e-14 1.8815e-14 1.9253e-14 2.0342e-14 2.2152e-14 2.5613e-14 3.3223e-14
1.3850e+02 2.6865e-14 2.3351e-14 2.2687e-14 2.2291e-14 2.2866e-14 2.4185e-14 2.6352e-14 3.0539e-14 3.9516e-14
1.3950e+02 3.1486e-14 2.7443e-14 2.6696e-14 2.6271e-14 2.7002e-14 2.8577e-14 3.1159e-14 3.6077e-14 1.0865e-13
1.4050e+02 3.6922e-14 3.2290e-14 3.1448e-14 3.0988e-14 3.1885e-14 3.3756e-14 3.6858e-14 4.2739e-14 6.7311e-12
1.4150e+02 4.3050e-14 3.7771e-14 3.6840e-14 3.6358e-14 3.7433e-14 3.9692e-14 4.3378e-14 5.0203e-14 6.5141e-14
1.4250e+02 5.0170e-14 4.4183e-14 4.3153e-14 4.2653e-14 4.3951e-14 4.6616e-14 5.0954e-14 5.9175e-14 7.9225e-14
1.4350e+02 5.8317e-14 5.1475e-14 5.0335e-14 4.9822e-14 5.1374e-14 5.4540e-14 5.9652e-14 6.9308e-14 2.3658e-13
1.4420e+02 6.5133e-14 5.7589e-14 5.6330e-14 5.5706e-14 5.7394e-14 6.0903e-14 6.6617e-14 7.7401e-14 1.0037e-13
1.4470e+02 6.9666e-14 6.1706e-14 6.0436e-14 5.9883e-14 6.1807e-14 6.5691e-14 7.1886e-14 8.3625e-14 1.0824e-13
1.4550e+02 7.8366e-14 6.9573e-14 6.8222e-14 6.7670e-14 6.9858e-14 7.4298e-14 8.1358e-14 9.5674e-14 1.2272e-13
1.4650e+02 9.0679e-14 8.0692e-14 7.9193e-14 7.8640e-14 8.1167e-14 8.6358e-14 9.4624e-14 1.1012e-13 1.4272e-13
1.4750e+02 1.0404e-13 9.2897e-14 9.1313e-14 9.0947e-14 9.4065e-14 1.0019e-13 1.0997e-13 1.2807e-13 1.6584e-13
1.4850e+02 1.2016e-13 1.0754e-13 1.0582e-13 1.0546e-13 1.0913e-13 1.1632e-13 1.2770e-13 1.4872e-13 2.0089e-13
1.4950e+02 1.3865e-13 1.2441e-13 1.2251e-13 1.2206e-13 1.2636e-13 1.3472e-13 1.4800e-13 1.7247e-13 2.2327e-13
1.5050e+02 1.5951e-13 1.4345e-13 1.4140e-13 1.4097e-13 1.4596e-13 1.5572e-13 1.7119e-13 1.9949e-13 2.5843e-13
1.5120e+02 1.7354e-13 1.5641e-13 1.5443e-13 1.5449e-13 1.6031e-13 7.3712e-13 1.8842e-13 2.1971e-13 2.8470e-13
1.5170e+02 1.8451e-13 1.6633e-13 1.6446e-13 1.6484e-13 1.7147e-13 1.8343e-13 2.0197e-13 2.3577e-13 3.0555e-13
1.5250e+02 9.3570e-14 8.6577e-14 8.4235e-14 8.2649e-14 8.3915e-14 8.8143e-14 9.5620e-14 1.0992e-13 1.3977e-13
1.5350e+02 1.2746e-13 1.1401e-13 1.1097e-13 1.0855e-13 1.0847e-13 1.1190e-13 1.1957e-13 1.3586e-13 1.7003e-13
1.5450e+02 1.4261e-13 1.2862e-13 1.2527e-13 1.2298e-13 1.2366e-13 1.2803e-13 1.3747e-13 1.5656e-13 1.9669e-13
1.5550e+02 1.7395e-13 1.5562e-13 1.5162e-13 1.4870e-13 1.4882e-13 1.5333e-13 1.6383e-13 1.8562e-13 2.3207e-13
1.5650e+02 1.9453e-13 1.7463e-13 1.7032e-13 1.6768e-13 1.6830e-13 1.7404e-13 1.8669e-13 2.1213e-13 2.6597e-13
1.5750e+02 2.1683e-13 1.9038e-13 1.8520e-13 1.8097e-13 1.7987e-13 1.8431e-13 1.9447e-13 2.1759e-13 2.6943e-13
1.5850e+02 2.5087e-13 2.2047e-13 2.1397e-13 2.0933e-13 2.0778e-13 2.1307e-13 2.2481e-13 2.5157e-13 3.1138e-13
